נושא_מייל,מילות_מפתח,סטטוס_נוכחי,סטטוס_מוצע,סיבה,confidence
השלמת_חוסרים,"השלמת חוסרים|חסרים מסמכים|נדרשים מסמכים",ממתין לפוליסה,רג'קט לטיפול,חוסרים מעכבים הנפקה,0.95
טופס_חתום,"טופס חתום|סיום חתימה|חתימה דיגיטלית|חתימה מרחוק",ממתין לטפסים,ממתין לשליחה ליצרן,טפסים מוכנים לשליחה,0.98
פוליסה_הונפקה,"פוליסה הונפקה|מספר פוליסה|הנפקת פוליסה",ממתין לפוליסה,הסתיים טיפול,תהליך הושלם בהצלחה,1.0
דחיית_יצרן,"דחייה|נדחה|לא אושר|בקשה נדחתה",ממתין לתשובת יצרן,רג'קט לטיפול,צריך לטפל בדחייה,0.9
אישור_יצרן,"אושר|אישור|התקבל אישור|אושרה הבקשה",ממתין לתשובת יצרן,ממתין לפוליסה,אושר ממתינים להנפקה,0.95
חוסר_מסמכים,"חסר מסמך|אנא שלח|נדרש לשלוח",*,רג'קט לטיפול,חסרים מסמכים מהלקוח,0.9
נספח_ו_התקבל,"נספח ו'|נספח ו|טופס נספח",ממתין לנספח ו,ממתין למשלוח למעסיק,נספח מוכן לשליחה,0.98
אישור_מעסיק,"אישור מעסיק|המעסיק אישר|אושר על ידי מעסיק",ממתין לאישור מעסיק,ממתין לפוליסה,מעסיק אישר,0.95
ביטול_לקוח,"ביטול|בקשת ביטול|מבקש לבטל",*,מבוטל,לקוח ביטל את התהליך,1.0
שגיאת_קובץ,"שגיאה|קובץ שגוי|בעיה בקובץ|תקלה",ממתין לשליחה ליצרן,רג'קט לטיפול,צריך לתקן ולשלוח מחדש,0.85
הפקדה_התקבלה,"הפקדה|הפקדה ראשונית|הכסף הועבר",ממתין להפקדה ראשונית,הסתיים טיפול,הפקדה אושרה,0.95
בקשת_שינוי,"שינוי|עדכון|בקשה לשינוי",*,רג'קט לטיפול,טיפול בשינוי נדרש,0.8
טופס_חסר,"טופס חסר|לא התקבל טופס",ממתין לשליחה ליצרן,רג'קט לטיפול,חסר טופס חתום,0.9
אישור_תביעה,"תביעה אושרה|אישור תביעה",ממתין לתשובה,הסתיים טיפול,תביעה אושרה,1.0
דחיית_תביעה,"תביעה נדחתה|דחיית תביעה",ממתין לתשובה,רג'קט לטיפול,תביעה נדחתה טיפול נדרש,0.95
